"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that clicking 'Xem thêm' loads more products instead of reloading the page.","8332","TID:SEARCH-LOADMORE Verify 'Xem thêm' button loads additional products","Google Chrome","Wed Dec 10 12:29:49 UTC 2025","passed","Wed Dec 10 12:29:57 UTC 2025","Search Functionality","search.spec.ts","",""
"","20900","TID:E2E-01: Login → Search → Add to Cart → Verify Cart","Google Chrome","Wed Dec 10 12:28:41 UTC 2025","passed","Wed Dec 10 12:29:02 UTC 2025","E-Commerce - End-to-End User Journey","e2e.spec.ts","",""
"","60670","TID:E2E-01: Login → Search → Add to Cart → Verify Cart","Google Chrome","Wed Dec 10 12:27:33 UTC 2025","broken","Wed Dec 10 12:28:33 UTC 2025","E-Commerce - End-to-End User Journey","e2e.spec.ts","",""
"Verify all search results contain keyword 'mouse'","18378","TID:SEARCH-3 Verify all search results contain keyword: mouse","Google Chrome","Wed Dec 10 12:29:02 UTC 2025","passed","Wed Dec 10 12:29:20 UTC 2025","Search Functionality","search.spec.ts","",""
"Verify all search results contain keyword 'keyboard'","53907","TID:SEARCH-2 Verify all search results contain keyword: keyboard","Google Chrome","Wed Dec 10 12:28:08 UTC 2025","passed","Wed Dec 10 12:29:02 UTC 2025","Search Functionality","search.spec.ts","",""
"","28271","TID:CART-02 Add multiple products to cart, remove one, and verify total price","Google Chrome","Wed Dec 10 12:27:32 UTC 2025","passed","Wed Dec 10 12:28:01 UTC 2025","Cart Functionality","cart.spec.ts","",""
"Verify all search results contain keyword 'laptop'","59963","TID:SEARCH-1 Verify all search results contain keyword: laptop","Google Chrome","Wed Dec 10 12:28:07 UTC 2025","passed","Wed Dec 10 12:29:07 UTC 2025","Search Functionality","search.spec.ts","",""
"","27089","TID:CART-01 Add two products and remove the first one","Google Chrome","Wed Dec 10 12:27:33 UTC 2025","passed","Wed Dec 10 12:28:00 UTC 2025","Cart Functionality","cart.spec.ts","",""
